 L.A. County rental listings 6-16-2025,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
SR25138392MR,Apartment,8371,8371   Northgate Ave #4,CANOGA PARK,91304,1,1.00 (1 0 0 0),,$500.00,,"$1,800","$1,800","$1,800",700,$2.57,1964,0,Laundry Area,,1-Year,Unfurnished,661-414-2318,"17,576"
NP25139952MR,Condominium,388,388  E Ocean BLVD ,LONG BEACH,90802,1,1.00 (1 0 0 0),,$0.00,,"$1,800",$0,"$1,800",680,$2.65,2004,1,"Dryer,Dryer Included,Washer,Washer Included",,"1-Year,Other",Unfurnished,916-916-9903,"120,506"
TR25138555MR,Apartment,964,964  E 7th ST ,POMONA,91766,2,1.00 (1 0 0 0),,$0.00,,"$1,850","$1,850","$1,850",750,$2.47,1946,1,None,No,1-Year,Unfurnished,714 631-3858,"13,094"
WS25139041MR,Apartment,425,425   Fairview AVE #29,ARCADIA,91007,1,1.00 (1 0 0 0),,$0.00,,"$1,850","$1,850","$1,850",700,$2.64,1960,0,Community,No,1-Year,Unfurnished,,"39,197"
P1-22852PF,Apartment,836,836   Fischer ST ,GLENDALE,91205,1,1.00 (1 0 0 0),,$0.00,,"$1,867","$1,872","$1,867",450,$4.15,1922,0,None,No,1-Year,Unfurnished,(323) 336-1158,"9,376"
25555437,,5170,5170  N Columbus Ave ,Sherman Oaks,91403,1,1.00 (1 0 0 0),,,,"$1,895","$1,895","$1,895",,$0,1956,2,"Community,Outside",Call,1+Year,Unfurnished,310-560-6666,"6,254"
25553989,,657,657  S COCHRAN AVE #104,LOS ANGELES,90036,1,1.00 (1 0 0 0),,,,"$1,899","$1,899","$1,899",756,$2.51,1928,0,Community,Call,12 Months,Unfurnished,310-710-9361,"7,798"
25555385,Apartment,115,115  N Oak St #15,Inglewood,90301,1,1.00 (1 0 0 0),,,,"$1,900","$1,900","$1,900",750,$2.53,1958,1,"Outside,Community",Yes,12 Months,Unfurnished,310-844-4812,"34,121"
25554903,Apartment,652,652  E 74th St ,Los Angeles,90001,1,1.00 (1 0 0 0),,,,"$1,900","$1,900","$1,900",720,$2.64,1924,0,None,No,Month-to-Month,Unfurnished,323-646-3567,"3,788"
IG25140778MR,Single Family,1616,1616   E Columbia Ave ,POMONA,91767,1,1.00 (1 0 0 0),,$50.00,50,"$1,900","$1,900","$1,900",600,$3.17,2025,0,"Laundry Closet Stacked,Stackable W/D Hookup",,1-Year,Unfurnished,,"2,000"
OC25135678MR,Apartment,5476,5476   Linden  #1,LONG BEACH,90805,1,1.00 (1 0 0 0),,$0.00,,"$1,900","$1,900","$1,900",415,$4.58,1963,0,Community,,1-Year,Unfurnished,714-655-5334,"5,530"
TR25136579MR,Single Family,251,251  E Colorado BLVD ,ARCADIA,91006,1,1.00 (1 0 0 0),,$300.00,75,"$3,300","$1,900","$1,900",600,$3.17,1941,0,"Gas Dryer Hookup,Laundry Area,Washer Hookup",,1-Year,Unfurnished,626-625-2688,"7,136"
SR25137806MR,Apartment,7047,7047   Fulton AVE #4,NORTH HOLLYWOOD,91605,2,1.00 (1 0 0 0),,$0.00,,"$1,900","$1,900","$1,900",700,$2.71,1957,2,None,,1-Year,Unfurnished,818-402-4175,"6,121"
PW25139757MR,Townhouse,533,533  W 23rd ST #6,SAN PEDRO,90731,1,1.00 (1 0 0 0),,$500.00,20,"$1,900","$2,000","$1,900","1,100",$1.73,1991,2,Garage,No,1-Year,Furnished,714-870-0300,"1,000"
BB25139654MR,,4147,4147 1/2  Warner BLVD ,BURBANK,91505,0,1.00 (1 0 0 0),,$500.00,,"$1,950","$1,950","$1,950",437,$4.46,1950,1,Laundry Area,,1-Year,Unfurnished,818-391-6226,"12,504"
25554423,Apartment,920,920  S Hobart Blvd #302,Los Angeles,90006,1,1.00 (1 0 0 0),,,,"$1,950","$1,950","$1,950",650,$3,,0,Community,Yes,1+Year,Unfurnished,213-285-7934,"9,028"
GD25136664IT,Apartment,430,430  E Verdugo AVE #L,BURBANK,91501,1,1.00 (1 0 0 0),,$0.00,,"$1,975","$1,975","$1,975",570,$3.46,1964,1,Community,,"1-Year,Negotiable",Unfurnished,818-636-2055,"10,198"
25555493,,224,224   Falcon Ave #Unit B,Long Beach,90802,1,1.00 (1 0 0 0),,,,"$1,990","$1,990","$1,990",,$0,,0,"In Unit,Laundry Closet Stacked",Call,"1+Year,24 Months",Unfurnished,949-510-4350,"2,500"
25555127,,622,622  S Cloverdale Ave ,Los Angeles,90036,1,1.00 (1 0 0 0),,,,"$1,995","$1,950","$1,995",750,$2.66,1948,1,None,Call,1+Year,Unfurnished,323-828-2680,"7,804"
25554617,,272,272  N Topanga Cyn ,Topanga,90290,0,1.00 (1 0 0 0),,,,"$1,995","$1,950","$1,995",,$0,,1,None,No,Month-to-Month,Furnished,310-430-6513,0
25554845,,1838,1838   Marine Ave ,Gardena,90249,1,2.00 (1 0 1 0),,,,"$2,000","$2,000","$2,000",760,$2.63,1907,0,In Unit,Call,"1+Year,1-Year,12 Months",Unfurnished,213-434-2433,"6,877"
OC25129422MR,,1406,1406   Argonne AVE ,LONG BEACH,90804,1,1.00 (1 0 0 0),,"$1,000.00",,"$2,000","$2,000","$2,000",550,$3.64,1924,0,None,,1-Year,Unfurnished,949-266-7895,"2,931"
OC25140819MR,Apartment,1020,1020  E 2nd ST #3,LONG BEACH,90802,1,1.00 (1 0 0 0),,$0.00,,"$2,000","$2,000","$2,000",605,$3.31,1955,1,Community,,1-Year,Unfurnished,714-655-5334,"8,270"
PW25140198MR,,1100,1100   Winthrop DR ,ALHAMBRA,91803,1,1.00 (1 0 0 0),,$500.00,,"$2,000","$2,250","$2,000",572,$3.50,1956,1,None,,1-Year,Furnished,714-932-3625,"5,201"
SR25139498MR,Single Family,7661,7661   Penfield AVE ,WINNETKA,91306,1,1.00 (1 0 0 0),,$0.00,,"$2,000","$2,000","$2,000",370,$5.41,2025,0,"Laundry Closet Stacked,Stackable W/D Hookup",No,1-Year,Unfurnished,,"7,505"
TR25140602MR,Single Family,225,225  N Lima ST ,SIERRA MADRE,91024,2,1.00 (1 0 0 0),,$300.00,75,"$2,000","$2,000","$2,000",500,$4,1958,1,Laundry Area,,1-Year,Furnished,626-625-2688,"10,000"
SR25140584MR,Apartment,5030,5030   Sepulveda BLVD #5,SHERMAN OAKS,91403,1,1.00 (1 0 0 0),,"$2,050.00",,"$2,050","$2,050","$2,050",720,$2.85,1958,1,Community,,1-Year,Furnished,818-402-6508,"8,026"
NP25122057MR,Apartment,5239,5239  E Ocean BLVD #2,LONG BEACH,90803,1,1.00 (1 0 0 0),,$500.00,,"$2,095","$2,095","$2,095",578,$3.62,1950,0,Laundry Area,,1-Year,Unfurnished,949-500-1740,"2,707"
25554515,,1657,1657   Colby Ave #3,Los Angeles,90025,1,1.00 (1 0 0 0),,$500.00,,"$2,095","$2,095","$2,095",600,$3.49,1957,0,Community,Call,1+Year,Unfurnished,310-626-5630,"6,144"
25555269,,2539,2539 1/4  Cloverdale Ave ,Los Angeles,90016,1,1.00 (1 0 0 0),,,,"$2,099","$2,099","$2,099",450,$4.66,1937,1,None,Call,1+Year,Unfurnished,310-717-6929,"6,194"
25554911,,1365,1365   Orange Grove Ave #8,Glendale,91205,1,1.00 (1 0 0 0),,,,"$2,100","$2,100","$2,100",646,$3.25,1945,1,Community,Call,12 Months,Unfurnished,310-710-9361,"9,688"
OC25136570MR,Apartment,7914,7914   Seville AVE #B,HUNTINGTON PARK,90255,2,2.00 (0 2 0 0),,$0.00,,"$2,100","$2,100","$2,100","3,700",$0.57,1948,0,Laundry Area,No,1-Year,Unfurnished,562-673-3873,"3,078"
SR25138678MR,Single Family,6522,6522   Alcove  ,NORTH HOLLYWOOD,91606,1,1.00 (1 0 0 0),,$0.00,,"$2,100","$2,100","$2,100",600,$3.50,2021,0,Inside,,Negotiable,Unfurnished,818-434-0555,800
PF25139707PF,Condominium,627,627  W Lemon AVE #1,MONROVIA,91016,1,1.00 (1 0 0 0),,$300.00,100,"$2,100","$4,200","$2,100",502,$4.18,2023,0,None,,1-Year,Unfurnished,626-818-8140,"5,975"
SB25136655MR,Apartment,1928,1928  W 145  #D,GARDENA,90249,1,1.00 (1 0 0 0),50,"$1,000.00",50,"$2,100","$2,100","$2,100",600,$3.50,1960,2,In Kitchen,No,1-Year,Unfurnished,3102596698,"8,927"
25555751,Apartment,2801,2801   Sunset PL #263,Los Angeles,90005,0,1.00 (1 0 0 0),,,,"$2,121",$750,"$2,121",564,$3.76,2021,0,In Unit,Call,1+Year,Unfurnished,833-525-3273,0
SB25138977MR,Apartment,511,511  S Harbor  #515,SAN PEDRO,90731,0,1.00 (1 0 0 0),,$500.00,,"$2,145","$1,000","$2,145",559,$3.84,2024,1,"Dryer,Dryer Included,Washer,Washer Included",,1-Year,Unfurnished,909-289-2693,"33,105"
P1-22866PF,Townhouse,1125,1125  W Calle Del Sol  #3,AZUSA,91702,2,1.00 (1 0 0 0),1,$1.00,1,"$2,150","$2,150","$2,150",836,$2.57,1974,2,"Community,Laundry Area",,1-Year,Unfurnished,,"34,536"
25554535,Apartment,3207,3207  W 3rd St #1,Los Angeles,90020,1,1.00 (1 0 0 0),,$0.00,,"$2,195","$2,195","$2,195",700,$3.14,1954,0,Community,Call,"1+Year,1-Year",Unfurnished,310-704-2434,"8,961"
SR25138075MR,Apartment,5921,5921   Cahuenga BLVD #6,NORTH HOLLYWOOD,91601,11,7.00 (7 0 0 0),,$0.00,,"$2,195","$2,195","$2,195","5,000",$0.44,1957,1,Community,Yes,1-Year,Unfurnished,310-817-0828,"9,249"
25553993,,5640,5640   Franklin Ave #406,Los Angeles,90028,1,1.00 (1 0 0 0),,,,"$2,199","$2,199","$2,199",900,$2.44,1929,0,Community,Call,12 Months,Unfurnished,310-710-9361,"24,301"
25554009,,5242,5242   Mccallum Ave #E,South Gate,90280,1,1.00 (1 0 0 0),,,,"$2,000","$2,000","$2,200",625,$3.52,1951,0,None,No,1+Year,Unfurnished,310-408-0121,"9,220"
25554963,Apartment,1111,1111   12th St #F,Santa Monica,90403,0,1.00 (1 0 0 0),,,,"$2,200","$2,200","$2,200",250,$8.80,1930,0,Laundry Area,Call,"1+Year,Month-to-Month",Unfurnished,424-599-2859,"7,526"
GD25137717IT,Single Family,2303,2303  N Sparks ST ,BURBANK,91504,1,1.00 (1 0 0 0),,$0.00,,"$2,200","$2,200","$2,200",440,$5,2023,0,"Gas Dryer Hookup,Washer Hookup",No,1-Year,Unfurnished,818-858-5026,"7,147"
25556185,,444,444  N Sycamore Ave #8,Los Angeles,90036,0,1.00 (1 0 0 0),,,,"$2,200","$2,200","$2,200",850,$2.59,1928,1,Community,Yes,1+Year,Unfurnished,213-222-7574,"7,826"
SR25137937MR,Single Family,23337,23337   Hartland ST ,WEST HILLS,91307,1,1.00 (1 0 0 0),,$0.00,,"$2,200","$2,200","$2,200",450,$4.89,2025,0,None,No,"1+Year,1-Year,Negotiable,Other",,818-857-7235,"1,000"
PW25139823MR,Condominium,330,330   Chestnut AVE #11,LONG BEACH,90802,1,1.00 (1 0 0 0),,$500.00,50,"$2,200","$2,200","$2,200",833,$2.64,1953,1,Community,,1-Year,Unfurnished,562-945-6407,"11,288"
TR25138390MR,Apartment,648,648   Abbey LN ,POMONA,91767,2,1.00 (1 0 0 0),,$0.00,,"$2,200","$2,200","$2,200",850,$2.59,1962,1,Laundry Area,No,1-Year,Unfurnished,714 631-3858,"7,809"
TR25137054MR,Condominium,305,305   Orchid LN #2,POMONA,91766,3,2.00 (2 0 0 0),,$0.00,,"$2,200","$2,800","$2,200","1,080",$2.04,1965,1,Inside,No,1-Year,Unfurnished,,"7,769"
TR25138558MR,Apartment,966,966  E 7th  ,POMONA,91767,2,1.00 (1 0 0 0),,$0.00,,"$2,200","$2,200","$2,200",950,$2.32,1964,1,None,No,1-Year,Unfurnished,714 631-3858,"13,094"
PW25137750MR,Condominium,400,400  S Broadway  #1202,LOS ANGELES,90013,1,1.00 (1 0 0 0),,$500.00,50,"$2,250","$3,000","$2,250",411,$5.47,2021,1,"In Closet,Inside",,1-Year,Unfurnished,201-839-7150,
GD25138025IT,,705,705  E California AVE ,GLENDALE,91206,1,1.00 (1 0 0 0),,$0.00,,"$2,250","$2,250","$2,250",696,$3.23,1941,1,Inside,No,1-Year,Unfurnished,818-437-2433,"8,369"
PF25136103PF,Apartment,816,816   Southview RD #D,ARCADIA,91007,2,1.00 (1 0 0 0),,$0.00,,"$2,250","$2,250","$2,250","1,000",$2.25,1957,1,Laundry Area,No,1-Year,Unfurnished,626-487-2222,"7,772"
P1-22853PF,,205,205  W Grand AVE ,ALHAMBRA,91801,2,1.00 (1 0 0 0),,$0.00,100,"$2,250","$2,250","$2,250","1,000",$2.25,1927,1,"Inside,Room",No,1-Year,Furnished,(323) 350-8290,"11,222"
OC25136804MR,Apartment,5476,5476   Linden AVE #6,LONG BEACH,90805,2,1.00 (1 0 0 0),,$0.00,,"$2,250","$2,250","$2,250",525,$4.29,1963,0,Community,,1-Year,Unfurnished,714-655-5334,"5,550"
25555139,,1635,1635   Colby Ave #2,Los Angeles,90025,1,1.00 (1 0 0 0),,,,"$2,250","$2,250","$2,250",600,$3.75,1960,1,Community,No,1+Year,Unfurnished,310-430-0818,"6,141"
25554733,,2447,2447  N Beachwood Dr #2,Los Angeles,90068,0,1.00 (1 0 0 0),,,,"$2,250","$2,250","$2,250",,$0,1968,1,In Unit,Call,1+Year,Unfurnished,305-799-4675,"12,004"
25554443,,428,428  S DOHENY DR #430 1/2,BEVERLY HILLS,90211,1,1.00 (1 0 0 0),,,,"$2,250","$2,250","$2,250",550,$4.09,1960,1,"Laundry Area,Outside",Call,1-Year,Unfurnished,310-435-3080,"5,621"
25556153,,245,245   PINE AVE #302,LONG BEACH,90802,1,1.00 (1 0 0 0),,,,"$2,295",$500,"$2,295",662,$3.47,1992,0,In Unit,Call,1+Year,Unfurnished,833-525-3273,"88,438"
25556309,,1237,1237   Elm Ave #B,San Gabriel,91775,2,2.00 (2 0 0 0),,,100,"$2,300","$2,300","$2,300",946,$2.43,1979,0,"In Carport,Garage",Call,1+Year,Unfurnished,213-700-3239,"40,975"
AR25136460MR,Apartment,525,525  E Olive AVE #G,MONROVIA,91016,2,1.00 (1 0 0 0),,$0.00,,"$2,300","$2,300","$2,300",900,$2.56,1963,2,Community,No,1-Year,Unfurnished,626-641-7678,"17,407"
DW25136854MR,Apartment,1946,1946   Bryce RD ,SOUTH EL MONTE,91733,2,1.00 (1 0 0 0),,$0.00,25,"$2,300","$2,300","$2,300",950,$2.42,1949,1,None,No,Month-to-Month,Unfurnished,562-857-1007,"5,767"
25552039,,9204,9204   Whitworth Dr #5,Los Angeles,90035,1,1.00 (1 0 0 0),,,,"$2,300","$2,300","$2,300",840,$2.74,1966,0,Community,No,1+Year,Unfurnished,310-918-5383,"6,071"
SR25139713MR,,19755,19755   Kittridge ST ,WINNETKA,91306,1,1.00 (1 0 0 0),,$0.00,,"$2,300","$2,300","$2,300",495,$4.65,2025,0,"Dryer,Dryer Included,In Kitchen,Washer,Washer Included",No,1-Year,Unfurnished,818-522-4481,"6,101"
SR25139408MR,,7755,7755   Ethel AVE ,NORTH HOLLYWOOD,91605,1,1.00 (1 0 0 0),,$300.00,,"$2,300","$4,600","$2,300",650,$3.54,2017,2,None,,1-Year,Unfurnished,818-968-3660,"14,964"
25555757,Apartment,2801,2801   Sunset PL #531,Los Angeles,90005,0,1.00 (1 0 0 0),,,,"$2,331",$750,"$2,331",591,$3.94,2021,0,In Unit,Call,1+Year,Unfurnished,833-525-3273,0
25556231,,245,245   PINE AVE #525,LONG BEACH,90802,1,1.00 (1 0 0 0),,,,"$2,335",$500,"$2,335",950,$2.46,1992,0,In Unit,Call,1+Year,Unfurnished,833-525-3273,"88,438"
SR25140443MR,Apartment,620,620   Illinois CT #6,EL SEGUNDO,90245,1,1.00 (1 0 0 0),,$0.00,,"$2,350","$2,350","$2,350",500,$4.70,1962,1,Community,,1-Year,Unfurnished,323-479-4389,"22,603"
WS25137655MR,Apartment,700,700  N Hill PL #207,LOS ANGELES,90012,2,2.00 (2 0 0 0),,$0.00,,"$2,350","$2,350","$2,350","1,200",$1.96,2008,0,Community,No,1-Year,Unfurnished,626-348-1863,"11,689"
TR25140249MR,Apartment,596,596  N Valencia PL #8,COVINA,91723,2,2.00 (2 0 0 0),,$0.00,,"$2,359","$2,359","$2,359","1,122",$2.10,1984,2,In Closet,No,1-Year,Unfurnished,626-715-9696,"23,682"
25556055,Condominium,5728,5728   Skyview Way #H,Agoura Hills,91301,1,1.00 (1 0 0 0),,,,"$2,395","$2,395","$2,395",681,$3.52,1985,2,In Closet,Call,"1+Year,1-Year",Unfurnished,805-377-7458,"377,716"
25554025,,1518,1518   Federal  #213,Los Angeles,90025,0,1.00 (1 0 0 0),,,,"$2,395","$4,650","$2,395",500,$4.79,,1,In Unit,Yes,1-Year,Unfurnished,310-473-3000,"15,000"
25555163,,518,518  N Gramercy Pl #209,Los Angeles,90004,1,1.00 (1 0 0 0),,,,"$2,395","$2,395","$2,395",788,$3.04,2019,0,In Unit,Yes,None,Unfurnished,310-473-3000,"4,927"
IV25138747MR,Apartment,1032,1032   Arcadia AVE ,ARCADIA,91007,2,1.00 (1 0 0 0),,$0.00,,"$2,398","$2,400","$2,398",925,$2.59,1955,2,Community,No,1-Year,Unfurnished,,"20,000"
OC25109606MR,Apartment,4954,4954   Tweedy BLVD #F,SOUTH GATE,90280,2,2.00 (2 0 0 0),,$0.00,,"$2,400","$2,400","$2,400",600,$4,1954,2,None,No,1-Year,Unfurnished,562-673-3873,"6,296"
DW25139129MR,Apartment,932,932  W 71st ST #932,LOS ANGELES,90044,2,1.00 (1 0 0 0),,$0.00,,"$2,400","$2,400","$2,400",600,$4,1944,0,None,No,1-Year,Unfurnished,323-353-0737,"3,965"
82011596ML,,1735,1735  N Fuller AVE #221,Los Angeles,90046,1,1.00 (1 0 0 0),,,,"$2,400","$2,400","$2,400",770,$3.12,1974,,Coin Operated,No,Deposit Required,,,0
WS25138020MR,,428,428   San Pasqual DR ,ALHAMBRA,91801,2,1.00 (1 0 0 0),,$150.00,,"$2,400","$2,400","$2,400",700,$3.43,1952,0,Laundry Area,,1-Year,Unfurnished,323-309-3423,"4,262"
WS25139033MR,Apartment,415,415  N 2nd ST #B,ALHAMBRA,91801,2,1.00 (1 0 0 0),,$0.00,,"$2,400","$3,400","$2,400",803,$2.99,1923,1,Community,No,1-Year,Unfurnished,626-705-2747,"8,807"
PW25139113MR,Condominium,7006,7006 1/2 E El Paseo ST ,LONG BEACH,90815,1,1.00 (1 0 0 0),,$0.00,,"$2,400","$2,000","$2,400","2,092",$1.15,1953,0,Community,,Other,Unfurnished,562-244-8602,"6,446"
PW25135199MR,Apartment,841,841  W El Camino Real  #103,LA HABRA,90631,1,1.00 (1 0 0 0),300,$500.00,250,"$2,400","$1,000","$2,400",700,$3.43,1965,1,"Community,Laundry Area",,1-Year,Unfurnished,9493461810,"1,000"
RS25139586MR,,2657,2657  E Monroe ST ,LONG BEACH,90810,10,5.00 (5 0 0 0),2200,$500.00,,"$2,400","$2,400","$2,400","2,968",$0.81,1926,0,None,No,1-Year,Unfurnished,562-253-6868,"8,354"
25556337,,630,630  N Grand Ave #408,Los Angeles,90012,2,2.00 (2 0 0 0),,,,"$2,450","$2,450","$2,450",841,$2.91,1982,0,Community,Call,1+Year,Unfurnished,310-622-3663,"15,898"
25554431,Apartment,1167,1167   Nelrose Ave ,Venice,90291,1,1.00 (1 0 0 0),,$500.00,,"$2,450","$2,450","$2,450","1,888",$1.30,1952,1,Laundry Area,Call,Negotiable,Unfurnished,310-488-9932,"4,401"
SB25137145MR,Apartment,3864,3864   Inglewood BLVD #3,MAR VISTA,90066,1,1.00 (1 0 0 0),,$500.00,,"$2,475","$2,575","$2,475",650,$3.81,1961,2,"In Kitchen,Inside,Other",,"1-Year,Negotiable",,310-951-4381,"7,554"
25555557,Single Family,1643,1643   260th St ,Harbor City,90710,1,1.00 (1 0 0 0),,,,"$2,490","$2,490","$2,490",700,$3.56,1921,1,In Unit,No,"1+Year,1-Year,12 Months,6 Months,Month-to-Month,Negotiable,Season",Furnished,213-590-9908,"5,502"
25556293,,11445,11445   RIVERSIDE DR #301,NORTH HOLLYWOOD,91602,1,1.00 (1 0 0 0),,,,"$2,495","$1,500","$2,495",650,$3.84,2021,1,In Unit,Call,1+Year,Unfurnished,833-525-3273,"5,875"
BB25121901MR,,10324,10324   Hillhaven AVE ,TUJUNGA,91042,2,1.00 (1 0 0 0),,$0.00,100,"$2,550","$2,550","$2,495",770,$3.24,1954,0,Other,,Month-to-Month,Furnished,310-770-8389,"3,000"
25556021,,12958,12958   Valleyheart Dr #3,Studio City,91604,1,1.00 (1 0 0 0),,$500.00,,"$2,495","$2,495","$2,495",850,$2.94,1962,1,Laundry Area,Yes,1+Year,Unfurnished,213-797-5559,"23,710"
