Listing ID (MLS#),Sub Type,St#,St Name,City,PostalCode,Br/Ba,L/C Price,Price Per Square Foot,Sqft,YrBuilt,Garage Spaces,PetsAllowed,List Office Phone,Terms
PW22114410,SFR/D,14109,Putnam ST  ,Whittier,90605,"1/1,0,0,0","$2,000",$5.26,380/T,1950/ASR,0,Call,562-225-5728,12M
SR22110920,SFR/A,10410,Amigo AVE  ,Porter Ranch,91326,"1/0,1,0,0","$2,000",$4.17,480/E,1961/ASR,0,Call,818-363-6116,12M
22160727,CONDO,361 S,DETROIT ST   #207,Los Angeles,90036,"1/1,0,0,0","$2,050",,/,1928/ASR,0,Call,310-500-3900,12M
PW22113815,TWNHS/A,1617,Alamitos AVE   #2,Long Beach,90813,"2/1,0,1,0","$2,100",$0.44,4731/E,1987/EST,0,No,888-344-9000,12M
SB22110410,APT/A,983 W,10th ST  ,San Pedro,90731,"2/1,0,0,0","$2,100",$2.33,900/T,1954/ASR,1,No,310-519-1080,12M
OC22114104,DPLX/D,639 W,47th ST  ,Los Angeles,90037,"2/1,0,0,0","$2,100",$2.10,1000/E,1909/ASR,0,No,714-916-5218,12M
V1-12759,APT/A,4844,Van Noord AVE   #4,Sherman Oaks,91423,"1/1,0,0,0","$2,100",$2.62,800/,1957/ASR,0,No,(805) 521-3501,12M
OC22099348,QUAD/D,1523 E,7th ST  ,Long Beach,90813,"3/1,0,0,0","$2,145",$2.38,900/A,1922/ASR,1,No,714-392-5203,12M
22161749,CONDO,923 N,SAN VICENTE BLVD   #3,West Hollywood,90069,"1/1,0,0,0","$2,150",$2.87,750/OTH,1957/ASR,,Yes,310-278-3311,12M
22161809,SFR,8618 E,CADILLAC AVE  ,Los Angeles,90034,"2/1,0,0,0","$2,250",$2.50,900/OTH,1936,,Yes,310-378-9494,12M
22162187,CONDO,1126 N,Formosa AVE   #5,West Hollywood,90046,"1/1,0,0,0","$2,295",,/,,,No,310-230-5478,12M
PW22110301,CONDO/A,13644,La Jolla CIR   #14G,La Mirada,90638,"2/2,0,0,0","$2,300",$2.06,1118/A,1973/ASR,1,No,714-870-7650,12M
WS22113242,SFR/A,928,Fairview AVE   #6,Arcadia,91007,"3/1,0,0,0","$2,300",$2.40,960/O,1959/ASR,0,No,626-616-8428,12M
SR22110957,SFR/D,7650,Balboa BLVD   #139,Van Nuys,91406,"2/2,0,0,0","$2,300",$2.88,800/O,1988/PUB,1,"Cats OK, Dogs OK",818-730-1213,12M
WS22110967,CONDO/A,22700,Lakeway DR   #332,Diamond Bar,91765,"2/2,0,0,0","$2,350",$2.52,934/A,1984/ASR,0,"Cats OK, Dogs OK",626-423-9909,12M
22161857,CONDO,12830,BURBANK BLVD   #202,Valley Village,91607,"2/2,0,0,0","$2,350",$2.04,1154/,1970,,Call,310-482-2200,12M
22160733,CONDO,1459 N,ALTA VISTA    #.5,Los Angeles,90046,"1/1,0,0,0","$2,395",,/,1940/ASR,,Call,310-500-3900,12M
PW22106709,DPLX/A,4114 E,8th ST  ,Long Beach,90804,"2/1,0,0,0","$2,400",$2.61,920/A,1938/ASR,1,No,562-493-3004,MO
CV22110298,CONDO/A,11,S 3rd St    #510,Alhambra,91801,"1/1,0,1,0","$2,400",$2.96,812/A,2015/ASR,1,No,626-899-8993,12M
22161071,CONDO,3810,WILSHIRE BLVD   #1110,Los Angeles,90010,"1/1,0,0,0","$2,400",$3.33,720/,1962,,Yes,213-251-9000,12M
SR22111449,SFR/D,45315,Newtree AVE  ,Lancaster,93534,"3/2,0,0,0","$2,400",$2.02,1188/A,1955/PUB,1,"Breed Restrictions, Call, Cats OK, Number Limit",818-633-4600,12M
PW22112370,CONDO/A,16040,Leffingwell RD   #108,Whittier,90603,"2/2,0,0,0","$2,450",$2.55,960/A,2006/PUB,1,No,657-217-5900,12M
WS22114909,CONDO/A,28 N,3rd ST  ,Alhambra,91801,"1/1,0,0,0","$2,485",$3.42,726/B,2015/ASR,1,No,626-289-4088,12M
22161817,SFR,1201 S,Hope ST   #1121,Los Angeles,90015,"0/1,0,0,0","$2,492",$4.75,525/D,,,Yes,424-203-1800,12M
22161745,CONDO,1233 N,HARPER AVE   #6,West Hollywood,90046,"1/1,0,0,0","$2,495",$3.33,750/OTH,1953/ASR,,Yes,310-278-3311,12M
22160997,APT,5529,FULCHER AVE   #203,North Hollywood,91601,"2/2,0,0,0","$2,495",$2.56,975/OTH,1990,,Yes,323-719-7779,12M
TR22100729,CONDO/A,22912,Colombard LN   #2,Diamond Bar,91765,"2/3,0,0,0","$2,500",$1.95,1283/A,1988/ASR,2,No,909-590-8853,12M
PW22114328,DPLX/A,13806,Freiburg ST  ,Whittier,90602,"2/1,0,0,0","$2,500",$2.38,1050/E,1954/ASR,0,"Breed Restrictions, Cats OK, Dogs OK",562-902-5100,12M
DW22113087,CONDO/A,941 W,Carson ST   #226,Torrance,90502,"1/1,0,0,0","$2,500",$3.59,696/A,1982/ASR,1,No,888-832-7179,12M
AR22111527,SFR/D,201 E,Woodbury RD  ,Altadena,91001,"2/1,0,0,0","$2,500",$3.36,744/P,1949/PUB,0,No,626-986-5344,12M
BB22109892,DPLX/D,101 N,Griffith Park AVE  ,Burbank,91506,"1/0,1,0,0","$2,500",$2.08,1200/O,1955/ASR,0,No,818-850-2580,12M
22160519,APT,6871,FRANKLIN AVE   #310,Los Angeles,90028,"1/1,0,0,0","$2,500",$0.14,17450/,1958,,Yes,310-271-2229,12M
22161073,CONDO,5422,LEMON GROVE AVE   #5422 1/2,Los Angeles,90038,"2/2,0,0,0","$2,500",$2.50,1000/A,1923/ASR,,Yes,310-777-6200,12M
22160863,CONDO,1728,El Cerrito PL   #4,Hollywood,90028,"1/1,0,0,0","$2,500",$3.12,800/,,,Call,310-271-2229,12M
22160861,CONDO,1728,El Cerrito PL   #6,Hollywood,90028,"1/1,0,0,0","$2,500",,/,,,Call,310-271-2229,12M
22160857,APT,1726,El Cerrito PL   #2,Hollywood,90028,"1/1,0,0,0","$2,500",$3.12,800/,,,Yes,310-271-2229,12M
22160547,APT,1724,El Cerrito PL   #1,Hollywood,90028,"1/1,0,0,0","$2,500",$3.12,800/,,,Call,310-271-2229,12M
22160499,CONDO,1515,Wilshire BLVD   #533,Los Angeles,90017,"1/1,0,0,0","$2,537",$3.68,690/,2016,,Call,323-300-1000,12M
22160495,CONDO,1515,Wilshire BLVD   #536,Los Angeles,90017,"1/1,0,0,0","$2,537",$3.68,690/,2016,,Call,323-300-1000,12M
22160503,CONDO,1515,Wilshire BLVD   #645,Los Angeles,90017,"1/1,0,0,0","$2,542",$3.66,695/,2016,,Call,323-300-1000,12M
22160505,CONDO,1515,Wilshire BLVD   #207,Los Angeles,90017,"1/1,0,0,0","$2,562",$3.58,715/,2016,,Call,323-300-1000,12M
22160597,APT,2801,Sunset PL   #139,Los Angeles,90005,"0/1,0,0,0","$2,590",$4.50,575/,2021/BLD,,Call,323-300-1000,12M
22161823,SFR,1201 S,Hope ST   #2118,Los Angeles,90015,"1/1,0,0,0","$2,590",$4.17,621/A,,,Yes,424-203-1800,12M
22161485,CONDO,3808,Los Feliz BLVD   #1,Los Angeles,90027,"1/1,0,0,0","$2,595",,/,,0,Call,310-247-7770,12M
22160936,APT,1252 N,ORANGE GROVE AVE   #2,West Hollywood,90046,"1/1,0,0,0","$2,595",$3.46,750/OTH,1941,,Yes,818-769-0000,12M
22161997,APT,6010 S,Fairfax AVE  ,Los Angeles,90056,"2/1,0,1,0","$2,600",,/,,,No,310-837-4176,12M
PW22113062,CONDO/A,764 N,Glendora AVE  ,Covina,91724,"2/3,0,0,0","$2,600",$2.08,1252/AP,1979/ASR,2,Call,714-998-8810,12M
PW22113083,QUAD/A,3033,Leeward AVE   #D,Los Angeles,90005,"3/2,0,0,0","$2,600",$1.93,1350/A,1917/ASR,0,"Call, No",714-839-9911,12M
MB22114489,DPLX/D,727,Oakford DR  ,East Los Angeles,90022,"3/1,0,0,0","$2,600",$2.60,1000/A,1928/PUB,2,No,626-315-0237,12M
PW22114317,TWNHS/A,12105,Foster RD   #2,Norwalk,90650,"2/1,0,1,0","$2,600",$2.28,1142/A,1982/PUB,2,No,714-527-9011,12M
SR22111718,CONDO/A,5706,Fair AVE   #114,North Hollywood,91601,"2/2,0,0,0","$2,600",$2.82,923/A,1981/ASR,2,"Size Limit, Yes",818-995-2424,12M
22160393,CONDO,6200 W,3RD ST   #4010M,Los Angeles,90036,"1/1,0,0,0","$2,619",$3.27,800/,1950,,Call,323-300-1000,12M
22160509,CONDO,1515,Wilshire BLVD   #324,Los Angeles,90017,"1/1,0,0,0","$2,632",$3.34,788/,2016,,Call,323-300-1000,12M
22162081,CONDO,360 W,AVENUE 26    #334,Los Angeles,90031,"2/2,0,0,0","$2,650",$2.28,1160/,2006,,No,213-500-1123,12M
22161401,CONDO,8617 1/2 W,Olympic BLVD  ,Los Angeles,90035,"2/1,0,0,0","$2,695",$3.37,800/E,1948,,Call,323-275-9273,12M
22161355,CONDO,232 N,KENMORE AVE   #2,Los Angeles,90004,"2/1,0,0,0","$2,700",$1.93,1400/,1924,,No,310-241-3038,12M
22161975,CONDO,901 S,FLOWER ST   #409,Los Angeles,90015,"1/1,0,0,0","$2,700",$3.00,900/A,2009,1,Call,323-665-5841,12M
22161213,CONDO,121 S,HOPE ST   #312,Los Angeles,90012,"1/1,0,0,0","$2,700",$3.40,793/,1980,1,No,310-300-3333,12M
SR22111573,CONDO/A,19832,Sandpiper PL   #59,Newhall,91321,"3/2,0,0,0","$2,700",$2.78,970/A,1989/ASR,2,No,818-522-4481,12M
RS22111208,TWNHS/A,16720,Cedarwood CIR  ,Cerritos,90703,"3/1,0,0,0","$2,700",$3.11,867/A,1973/ASR,1,No,562-402-4520,12M
22160397,CONDO,6200 W,3RD ST   #4010G,Los Angeles,90036,"1/1,0,0,0","$2,709",$3.39,800/,1950,,Call,323-300-1000,12M
22160843,CONDO,4511,DON RICARDO DR   #4E,Los Angeles,90008,"2/1,0,1,0","$2,750",$3.28,839/,1961,1,"Call, Yes",310-256-3040,12M
SB22113976,SFR/D,4621 W,156th ST  ,Lawndale,90260,"3/1,0,0,0","$2,795",$2.65,1053/A,1951/ASR,2,Call,424-732-3934,12M
22160747,CONDO,5016,CLINTON ST   #5016 C,Los Angeles,90004,"2/1,0,0,0","$2,795",$2.33,1200/E,2022/EST,,Call,310-478-5323,12M
PF22108861,CONDO/A,83 E,Commonwealth AVE   #2A,Alhambra,91801,"2/2,0,0,0","$2,800",$1.74,1610/A,2006/ASR,2,No,310-344-6366,12M
22161025,CONDO,5420,LEMON GROVE AVE   #5420 1/2,Los Angeles,90038,"2/2,0,0,0","$2,800",$2.80,1000/A,1923/ASR,,Yes,310-777-6200,12M
22161033,CONDO,1425 W,12TH ST   #264,Los Angeles,90015,"3/2,0,0,0","$2,800",$2.70,1038/,1983,,Call,310-800-5662,NG
SR22113803,CONDO/A,27026,Victoria LN   #89,Valencia,91355,"2/2,0,0,0","$2,800",$2.68,1046/A,2001/PUB,2,Yes,661-290-3700,12M
GD22114570,CONDO/A,315,Cameron PL  ,Glendale,91207,"2/2,0,1,0","$2,850",$2.91,979/A,1989/PUB,2,No,818-476-3000,12M
WS22113755,CONDO/A,518 N,Ynez AVE   #A,Monterey Park,91754,"4/3,0,0,0","$2,850",$1.80,1579/A,1980/ASR,2,No,626-285-2121,12M
22160433,CONDO,10445,EASTBORNE AVE   #104,Los Angeles,90024,"1/1,0,0,0","$2,850",$3.85,740/,1970/ASR,,Call,424-400-5900,12M
22160811,CONDO,626 N,Azusa AVE   #317,Azusa,91702,"1/1,0,0,0","$2,895",$3.83,756/,2022/BLD,,Yes,310-461-0400,12M
SB22110817,CONDO/A,8710,Belford AVE   #210B,Westchester,90045,"2/2,0,0,0","$2,895",$3.12,929/A,1968/ASR,2,No,310-375-3511,12M
RS22102581,APT/A,11030,Crenshaw BLVD   #1,Inglewood,90303,"3/1,1,0,0","$2,900",$2.07,1400/A,1956/ASR,1,No,310-538-6884,12M
22161953,CONDO,5104,SAN VICENTE   ,Los Angeles,90019,"2/2,0,0,0","$2,900",$2.23,1300/,1947/ASR,,Call,323-750-3690,12M
PW22113179,SFR/D,16419,Parkshire CT  ,Paramount,90723,"3/2,0,0,0","$2,900",$2.48,1170/A,1942/ASR,0,No,562-965-8850,12M
P1-9709,APT/A,460 E,Cypress AVE   #C,Burbank,91501,"2/2,0,0,0","$2,950",$2.68,1100/,1969,2,"Breed Restrictions, Cats OK, Dogs OK, Size Limit, Yes",(323) 285-3405,12M
GD22113162,CONDO/A,811 N,Columbus ST   #12,Glendale,91203,"2/2,0,0,0","$2,950",$2.44,1211/P,1981/ASR,2,"Call, Size Limit",818-725-1041,12M
WS22112775,SFR/D,1319,Aileron AVE  ,La Puente,91744,"3/2,0,0,0","$2,950",$2.35,1254/A,1949/ASR,2,No,626-872-6039,NG
WS22110012,SFR/D,1803,Hollandale AVE  ,Rowland Heights,91748,"3/2,0,0,0","$2,950",$2.50,1178/A,1973/ASR,2,"Breed Restrictions, Call, Number Limit, Size Limit",909-569-5915,12M
WS22111023,TWNHS/A,1093 E,Grand AVE   #102,Pomona,91766,"3/3,0,0,0","$2,950",$1.45,2031/A,2005/PUB,2,Call,626-382-1688,12M
22160845,CONDO,1128,23RD ST   #2,Santa Monica,,"1/1,0,0,0","$2,950",$4.24,695/E,1969/ASR,,Yes,310-820-6651,12M
SR22110945,CONDO/A,5325,Newcastle AVE   #313,Encino,91316,"2/1,0,0,0","$2,950",$3.65,809/A,1971/ASR,2,Call,818-426-1117,12M
22160513,CONDO,1515,Wilshire BLVD   #304,Los Angeles,90017,"2/2,0,0,0","$2,965",$3.55,836/,2016,,Call,323-300-1000,12M
22160721,CONDO,626 N,Azusa AVE   #450,Azusa,91702,"1/1,0,0,0","$2,995",$4.83,620/,2022/BLD,,Yes,310-461-0400,12M
22160395,CONDO,6200 W,3RD ST   #3801G,Los Angeles,90036,"1/1,0,0,0","$2,999",$3.75,800/,1950,,Call,323-300-1000,12M
22161683,CONDO,370,OBISPO AVE   #1,Long Beach,90814,"2/1,0,0,0","$3,000",$2.50,1200/E,1969,,Call,714-765-9880,12M
P1-9724,SFR/D,1130,Heather SQ  ,Pasadena,91104,"2/1,0,0,0","$3,000",$3.62,828/A,1937/ASR,2,Call,(626) 683-0777,12M
PW22110941,CONDO/A,727 S,Ardmore AVE   #105,Los Angeles,90005,"2/2,0,0,0","$3,000",$2.34,1281/A,1982/ASR,2,No,714-870-7650,12M
SR22111633,SFR/D,22136,Hart ST  ,Canoga Park,91304,"2/1,0,0,0","$3,000",$3.01,998/D,2022/PUB,0,"Number Limit, Size Limit",818-999-2030,12M
SR22113329,CONDO/D,20235,Livorno WAY  ,Northridge,91326,"2/2,0,1,0","$3,000",$2.51,1194/A,2013/ASR,2,No,818-881-2300,12M
BB22110484,TWNHS/A,358 W,Doran ST   #D,Glendale,91203,"2/2,0,1,0","$3,050",$2.95,1035/A,2000/ASR,2,No,818-381-5100,12M
22160655,CONDO,1901 N,Buena Vista ST   #01-314,Burbank,91504,"1/1,0,0,0","$3,075",$4.05,759/,2010,,Call,323-300-1000,12M
TR22114288,SFR/D,20272,Vejar RD  ,Walnut,91789,"3/2,0,0,0","$3,095",$2.10,1476/A,1973/ASR,2,"Cats OK, Dogs OK, Number Limit, Yes",909-861-9985,12M
RS22113511,SFR/D,6158,Adenmoor AVE  ,Lakewood,90713,"3/1,0,0,0","$3,100",$3.10,1000/O,1940/ASR,1,"Call, No",310-892-2783,12M
P1-9728,CONDO/D,1721 N,Allen AVE  ,Pasadena,91104,"3/1,0,0,0","$3,100",$3.23,960/,1922,0,No,(626) 205-4040,12M
AR22113241,CONDO/A,175 S,Lake AVE   #302,Pasadena,91101,"1/1,0,0,0","$3,100",$2.75,1126/A,2003/APP,2,Call,626-241-2681,12M
22160557,CONDO,3150,WILSHIRE    #PH02,Los Angeles,90010,"1/1,0,0,0","$3,100",$5.12,606/,2014,,"Call, Breed Restrictions, Size Limit",323-300-1000,12M
AR22114039,TWNHS/A,557 W,Foothill BLVD   #139,Glendora,91741,"3/4,0,0,0","$3,200",$1.69,1890/A,2017/PUB,2,No,626-593-7456,12M
PW22108561,SFR/D,126 S,Turner AVE  ,West Covina,91791,"3/2,0,0,0","$3,200",$2.84,1126/A,1953/ASR,2,No,562-903-1139,12M
OC22112165,SFR/D,11403,Inez ST  ,Whittier,90605,"3/1,0,0,0","$3,200",$1.87,1709/A,1950/APP,0,Call,714-964-2218,12M
22161479,APT,744,PIER AVE   #3,Santa Monica,90405,"2/1,0,0,0","$3,200",$3.76,850/,1963,,No,310-829-0629,12M
22157675,CONDO,1141 1/2,24TH ST  ,Santa Monica,90403,"1/1,0,0,0","$3,200",$4.27,750/E,1964,1,Yes,888-584-9427,12M
22161723,CONDO,15248,DICKENS ST   #109,Sherman Oaks,91403,"2/2,0,0,0","$3,200",$2.54,1261/,1965,,Call,310-432-6400,12M
22160521,CONDO,1515,Wilshire BLVD   #543,Los Angeles,90017,"2/2,0,0,0","$3,210",$2.97,1082/,2016,,Call,323-300-1000,12M
PW22114382,SFR/D,2442,Magnolia AVE  ,Long Beach,90806,"3/1,0,0,0","$3,250",$2.13,1524/A,1937/ASR,2,Call,562-270-0688,12M
22160573,APT,6263,LA TIJERA BLVD  ,Los Angeles,90056,"2/1,0,0,0","$3,250",$2.71,1200/E,1952,,No,310-362-8209,12M
PF22108863,TWNHS/A,155 N,Wabash AVE   #7,Glendora,91741,"2/2,0,1,0","$3,250",$1.77,1833/A,2018/BLD,1,"Breed Restrictions, Dogs OK, Number Limit, Size Limit, Yes",310-344-6366,12M
IN22111249,TPLX/A,1023,Coronado    #1025,Echo Park,90026,"2/1,0,1,0","$3,250",$2.95,1100/A,1995/PUB,0,"Breed Restrictions, Call, Dogs OK",562-674-3042,12M
IG22110102,SFR/A,1185,Douglass DR  ,Pomona,91768,"4/2,0,0,0","$3,250",$2.45,1326/A,1956/ASR,2,"Breed Restrictions, Cats OK, Dogs OK, Size Limit",909-548-0044,12M
SR22111846,SFR/A,1142 S,Highland AVE  ,Los Angeles,90019,"1/1,0,0,0","$3,250",$3.25,1000/O,1924/ASR,0,Call,818-522-4481,12M
PW22101936,TWNHS/A,16022,Clearbrook LN  ,Cerritos,90703,"3/3,0,0,0","$3,295",$1.99,1656/A,1977/ASR,2,No,949-281-3075,12M
SR22110404,SFR/D,22344,Hartland ST  ,Canoga Park,91303,"2/2,0,0,0","$3,295",$3.52,936/A,2019/OTH,4,Cats OK,818-501-4800,12M
22160569,SFR,10929,ELDORA AVE  ,Sunland,91040,"2/2,0,0,0","$3,300",$2.55,1296/,1955,2,Call,213-385-4989,12M
22160459,CONDO,1804,CAMDEN AVE   #302,Los Angeles,90025,"2/2,0,0,0","$3,300",$2.54,1300/,2001/ASR,,Call,310-315-9622,12M
22162089,CONDO,121 S,HOPE ST   #430,Los Angeles,90012,"2/2,0,0,0","$3,300",$2.84,1161/A,1980/ASR,,No,213-629-2530,12M
PW22114518,SFR/D,14609,Rayfield DR  ,La Mirada,90638,"3/1,1,0,0","$3,300",$2.54,1301/P,1958/PUB,2,No,562-945-2221,12M
22160551,CONDO,3150,WILSHIRE    #PH07,Los Angeles,90010,"1/1,0,0,0","$3,320",$4.32,768/,2014,,"Call, Breed Restrictions, Size Limit",323-300-1000,12M
22160523,CONDO,1515,Wilshire BLVD   #312,Los Angeles,90017,"2/2,0,0,0","$3,320",$2.79,1190/,2016,,Call,323-300-1000,12M
GD22114817,TWNHS/A,18245,Burbank BLVD   #112,Tarzana,91356,"2/2,0,1,0","$3,350",$2.09,1600/O,2009/ASR,1,"Cats OK, Dogs OK, Yes",818-432-3200,12M
GD22114716,TWNHS/A,18245,Burbank BLVD   #107,Tarzana,91356,"2/2,0,1,0","$3,350",$2.09,1600/O,2009/ASR,1,"Cats OK, Dogs OK, Yes",818-432-3200,12M
CV22110434,TWNHS/A,670 W,1st ST  ,Claremont,91711,"3/3,0,0,0","$3,400",$2.05,1658/A,2004/ASR,2,No,909-985-4600,12M
IV22113359,SFR/D,220,Palm PL  ,Pomona,91767,"3/2,0,0,0","$3,400",$2.66,1276/A,1912/ASR,0,"Breed Restrictions, Dogs OK",951-907-9274,12M
OC22114020,SFR/D,1507 E,Gage AVE  ,Los Angeles,90001,"3/3,0,0,0","$3,400",$2.41,1412/A,2007/ASR,2,Yes,714-341-9987,12M
SR22114426,SFR/D,27849,Camp Plenty RD  ,Canyon Country,91351,"5/2,0,0,0","$3,400",$1.73,1965/A,1965/ASR,2,"Cats OK, Dogs OK",661-476-9001,12M
22161727,SFR,12403,SONOMA DR  ,Pacoima,91331,"3/3,0,0,0","$3,400",$1.88,1810/,2004,,Yes,818-382-4160,12M
TR22113186,SFR/D,20502,Buckland DR  ,Walnut,91789,"4/2,0,0,0","$3,450",$1.88,1836/A,1964/ASR,2,Call,626-322-2900,12M
AR22110696,CONDO/A,41 N,Oak AVE   #3,Pasadena,91107,"3/3,0,0,0","$3,450",$2.41,1430/A,2010/ASR,2,Call,626-566-7784,12M
22161217,CONDO,4210,Via Arbolada    #307,Los Angeles,90042,"2/2,0,0,0","$3,450",$3.33,1037/,1984,,Call,323-932-6000,12M
22160911,CONDO,10560,SANTA MONICA    #203,Los Angeles,90025,"2/2,0,0,0","$3,495",$3.41,1025/E,2000/EST,,Call,818-788-8887,12M
22159395,CONDO,6141,Saturn ST  ,Los Angeles,90035,"3/1,0,0,0","$3,495",,/,,,Call,310-230-5478,12M
22161760,CONDO,1233 N,HARPER AVE   #16,West Hollywood,90046,"2/1,0,1,0","$3,495",$2.91,1200/OTH,1953/ASR,,Call,310-278-3311,12M
22161597,APT,5727 W,OLYMPIC BLVD  ,Los Angeles,90036,"12/8,0,0,0","$3,495",$3.68,950/,1946,,Yes,323-828-2729,12M
SB22114383,DPLX/D,805,18th ST  ,Hermosa Beach,90254,"3/2,0,0,0","$3,500",$2.92,1200/A,1973/ASR,3,No,310-791-3595,12M
PV22114450,SFR/D,703,Sapphire ST  ,Redondo Beach,90277,"2/0,1,0,0","$3,500",$3.92,892/A,1949/ASR,0,Call,310-316-0062,12M
WS22110337,CONDO/A,626 W,Naomi AVE   #3,Arcadia,91007,"3/3,0,1,0","$3,500",$2.34,1494/A,1990/ASR,2,No,626-289-4088,12M
22141573,APT,1103 W,Angeleno AVE   #D,Burbank,91506,"2/2,0,0,0","$3,500",$3.89,900/,1989,,Call,310-546-3468,12M
GD22110749,CONDO/A,362,Salem ST   #104,Glendale,91203,"3/2,0,1,0","$3,500",$2.52,1390/A,2003/ASR,3,No,818-249-5222,12M
TR22112455,SFR/D,2346,Sarandi Grande DR  ,Hacienda Heights,91745,"4/2,0,1,0","$3,500",$1.62,2160/A,1968/ASR,3,"Call, Number Limit, Size Limit",626-820-1920,12M
AR22109801,TWNHS/A,1951 B,Strathmore AVE   #B,San Gabriel,91776,"4/2,0,1,0","$3,500",$1.95,1792/T,1987/ASR,2,No,626-574-0688,12M
GD22113559,SFR/D,7419,Valmont   ,Tujunga,91042,"3/3,0,0,0","$3,500",$1.94,1800/B,2022/BLD,0,No,818-500-4009,12M
P1-9693,SFR/D,10267,Tujunga Canyon BLVD Bl ,Tujunga,91042,"3/1,1,0,0","$3,500",$2.03,1725/E,1947,0,Call,(818) 790-6774,12M
PW22112474,DPLX/A,133 W,Colden AVE  ,Los Angeles,90003,"5/3,0,0,0","$3,500",$1.94,1800/A,2017/OTH,2,No,714-521-7700,12M
22161371,SFR,233,7TH AVE   #1/2,Venice,90291,"1/1,0,0,0","$3,500",$4.12,850/E,1926,,Call,424-280-7400,12M
22161251,CONDO,100 S,DOHENY DR   #518,Los Angeles,90048,"1/1,0,1,0","$3,500",$4.92,712/,1971,,Call,310-820-0195,12M
